Camptothecin	5-Fluorouracil	Afatinib	Taselisib	PD0325901	Linsitinib	Sapitinib	Luminespib	Alpelisib	SCH772984
724870	-2.700202	4.783919	2.300992	2.672227	NA	3.663943	3.385103	-2.486436	3.388615	1.274858
724872	-1.207314	3.878984	1.117352	3.733744	0.422801	3.324644	3.832825	-2.215688	3.665247	3.532029
724873	-2.856155	4.462445	1.563318	0.740793	-1.579361	2.685974	4.009143	-4.014009	2.427928	1.838901
724878	-2.379578	7.184354	4.54287	3.407132	3.39702	5.272378	6.772055	0.671134	4.255041	5.977667
724879	-2.123844	4.433815	2.137485	2.202203	0.491395	4.247689	3.941266	-2.031677	4.85125	1.776844
735784	-2.931252	5.171723	2.023821	0.957707	1.513402	4.639693	3.778963	0.861325	2.863022	3.360642
753532	-2.027031	5.101297	1.895014	-1.648221	-0.897518	0.826423	2.887805	-3.564209	0.605612	1.593188
753538	-3.253273	4.780258	-0.490097	-0.050771	-0.050502	5.214324	0.006154	-2.540707	2.635146	1.881525
753539	-5.147479	2.560749	1.734951	4.68591	1.207348	3.592946	4.459807	-2.64669	4.558136	3.67582
753541	-3.746636	3.366264	0.878546	-1.990268	-0.466506	4.032426	1.388669	-3.336801	1.032132	2.361649
753546	NA	NA	4.206978	NA	-3.382457	NA	NA	NA	NA	NA
753547	-1.176761	4.223984	NA	1.716335	1.645188	1.324609	4.336991	-2.287036	1.803888	3.439971
753548	NA	NA	-0.301152	NA	-0.405472	NA	NA	NA	NA	NA
753551	-4.347583	3.361669	NA	2.401819	NA	3.749529	4.033974	-1.632719	3.945618	3.845995
753552	-3.453712	5.085314	-2.534574	1.768335	-0.398078	2.056839	0.196343	-3.240016	3.377824	0.65239
753554	-4.083769	6.895327	2.833648	2.491105	NA	4.574463	4.458896	-2.518694	4.849971	0.236353
753555	-3.049552	4.768843	-3.095542	-0.310882	-0.319337	4.120562	-0.829692	-3.737027	2.733434	0.791235
753556	-0.851197	5.046512	0.47334	-0.790741	0.327769	3.509148	2.192205	-3.641983	1.714127	1.168253
753558	-2.626678	5.270133	3.18259	2.776238	1.329246	4.631227	5.052696	1.994726	3.701334	2.85287
753561	-2.98966	4.149154	-0.049109	-1.311663	0.490614	3.518084	0.662229	-3.639666	1.539716	1.645551
753562	-4.417918	3.935762	0.808594	-1.946931	0.33454	3.627369	1.094127	-4.214985	0.877885	2.76926
753563	-5.22851	1.642012	0.229573	2.294416	-3.878095	3.227245	3.737688	-4.750509	2.78398	-1.183964
